vehicle_id,p_start,p_temp,p_end,pre_routes,pre_regions,freq,label
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.7666, 39.8027)","('empty', 'empty', 'empty')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'dianzhuang_tongzhou')",40460,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.72105, 39.81482000000001)","('empty', 'empty', 'x005')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'daxinzhuang_tongzhou')",1720,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.70168, 39.8301)","('empty', 'empty', '何牌路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'pailouying_tongzhou')",1683,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.77232, 39.81688)","('empty', 'empty', '京塘路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'lianggezhuang_tongzhou')",2142,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.68455, 39.90142)","('empty', 'empty', 'binhe_middle')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'qiaozhuang_tongzhou')",91,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.6511, 39.94022)","('empty', 'empty', '通顺路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'beimazhuang_tongzhou')",171,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.68425, 39.90155)","('empty', 'empty', '玉带河东街')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'none_tongzhou')",190,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.72373, 39.90177)","('empty', 'empty', 'yunhe_east_street')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'xipu_tongzhou')",190,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.73787, 39.85625)","('empty', 'empty', '通济路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'lianggezhuang_tongzhou')",190,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.71522, 39.8281)","('empty', 'empty', '张凤路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'hegezhuang_tongzhou')",300,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.6965, 39.83013)","('empty', 'empty', '张采路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'houjie_tongzhou')",13845,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.71253, 39.8379)","('empty', 'empty', 'y762')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'hegezhuang_tongzhou')",465,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.78068, 39.78832)","('empty', 'empty', 'g103')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'yulinzhuang_tongzhou')",1176,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.65188, 39.90548)","('empty', 'empty', '中山大街')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'none_tongzhou')",1770,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.63673, 39.91505)","('empty', 'empty', '通惠北路')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'none_tongzhou')",1770,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.61143, 39.90532)","('empty', 'empty', 'jianguo')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', 'sixingzhuang_chaoyang')",5310,False
7,"(116.76038, 39.79758)","(116.7666, 39.8027)","(116.57235, 39.91355)","('empty', 'empty', 'chaoyang')","('dianzhuang_tongzhou', 'dianzhuang_tongzhou', '定福庄_chaoyang')",3540,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.70168, 39.8301)","('empty', 'x005', '何牌路')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'pailouying_tongzhou')",102,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.6892, 39.8266)","('empty', 'x005', 'empty')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'qishanzhuang_tongzhou')",1870,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.71878, 39.82333)","('empty', 'x005', 'x005')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'daxinzhuang_tongzhou')",55,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.77232, 39.81688)","('empty', 'x005', '京塘路')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'lianggezhuang_tongzhou')",129,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.71522, 39.8281)","('empty', 'x005', '张凤路')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'hegezhuang_tongzhou')",36,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.6965, 39.83013)","('empty', 'x005', '张采路')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'houjie_tongzhou')",828,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.71253, 39.8379)","('empty', 'x005', 'y762')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'hegezhuang_tongzhou')",36,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.78068, 39.78832)","('empty', 'x005', 'g103')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'yulinzhuang_tongzhou')",36,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.65188, 39.90548)","('empty', 'x005', '中山大街')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'none_tongzhou')",90,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.63673, 39.91505)","('empty', 'x005', '通惠北路')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'none_tongzhou')",90,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.61143, 39.90532)","('empty', 'x005', 'jianguo')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', 'sixingzhuang_chaoyang')",270,False
7,"(116.76038, 39.79758)","(116.72105, 39.81482000000001)","(116.57235, 39.91355)","('empty', 'x005', 'chaoyang')","('dianzhuang_tongzhou', 'daxinzhuang_tongzhou', '定福庄_chaoyang')",180,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.6892, 39.8266)","('empty', '何牌路', 'empty')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'qishanzhuang_tongzhou')",764,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.71878, 39.82333)","('empty', '何牌路', 'x005')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'daxinzhuang_tongzhou')",36,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.77232, 39.81688)","('empty', '何牌路', '京塘路')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'lianggezhuang_tongzhou')",106,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.6965, 39.83013)","('empty', '何牌路', '张采路')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'houjie_tongzhou')",516,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.65188, 39.90548)","('empty', '何牌路', '中山大街')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'none_tongzhou')",70,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.63673, 39.91505)","('empty', '何牌路', '通惠北路')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'none_tongzhou')",70,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.61143, 39.90532)","('empty', '何牌路', 'jianguo')","('dianzhuang_tongzhou', 'pailouying_tongzhou', 'sixingzhuang_chaoyang')",210,False
7,"(116.76038, 39.79758)","(116.70168, 39.8301)","(116.57235, 39.91355)","('empty', '何牌路', 'chaoyang')","('dianzhuang_tongzhou', 'pailouying_tongzhou', '定福庄_chaoyang')",140,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.7438, 39.8528)","('empty', '京塘路', '京塘路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'lianggezhuang_tongzhou')",90,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.65453, 39.94552)","('empty', '京塘路', 'empty')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'beimazhuang_tongzhou')",2088,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.71917, 39.82338)","('empty', '京塘路', 'x005')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'daxinzhuang_tongzhou')",96,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.71522, 39.8281)","('empty', '京塘路', '张凤路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'hegezhuang_tongzhou')",48,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.6965, 39.83013)","('empty', '京塘路', '张采路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'houjie_tongzhou')",672,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.71253, 39.8379)","('empty', '京塘路', 'y762')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'hegezhuang_tongzhou')",48,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.78068, 39.78832)","('empty', '京塘路', 'g103')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'yulinzhuang_tongzhou')",48,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.70688, 39.828)","('empty', '京塘路', '何牌路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'pailouying_tongzhou')",48,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.65188, 39.90548)","('empty', '京塘路', '中山大街')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'none_tongzhou')",108,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.63673, 39.91505)","('empty', '京塘路', '通惠北路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'none_tongzhou')",108,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.61143, 39.90532)","('empty', '京塘路', 'jianguo')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'sixingzhuang_chaoyang')",324,False
7,"(116.76038, 39.79758)","(116.77232, 39.81688)","(116.57235, 39.91355)","('empty', '京塘路', 'chaoyang')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', '定福庄_chaoyang')",216,False
7,"(116.76038, 39.79758)","(116.68455, 39.90142)","(116.65453, 39.94552)","('empty', 'binhe_middle', 'empty')","('dianzhuang_tongzhou', 'qiaozhuang_tongzhou', 'beimazhuang_tongzhou')",644,False
7,"(116.76038, 39.79758)","(116.68455, 39.90142)","(116.6965, 39.83013)","('empty', 'binhe_middle', '张采路')","('dianzhuang_tongzhou', 'qiaozhuang_tongzhou', 'houjie_tongzhou')",196,False
7,"(116.76038, 39.79758)","(116.68455, 39.90142)","(116.61143, 39.90532)","('empty', 'binhe_middle', 'jianguo')","('dianzhuang_tongzhou', 'qiaozhuang_tongzhou', 'sixingzhuang_chaoyang')",42,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.65222, 39.9213)","('empty', '通顺路', 'empty')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', 'yongshun_tongzhou')",779,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.77452, 39.82308)","('empty', '通顺路', '京塘路')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', 'lianggezhuang_tongzhou')",38,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.71917, 39.82338)","('empty', '通顺路', 'x005')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', 'daxinzhuang_tongzhou')",38,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.6965, 39.83013)","('empty', '通顺路', '张采路')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', 'houjie_tongzhou')",266,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.61143, 39.90532)","('empty', '通顺路', 'jianguo')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', 'sixingzhuang_chaoyang')",57,False
7,"(116.76038, 39.79758)","(116.6511, 39.94022)","(116.57235, 39.91355)","('empty', '通顺路', 'chaoyang')","('dianzhuang_tongzhou', 'beimazhuang_tongzhou', '定福庄_chaoyang')",38,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.77452, 39.82308)","('empty', '玉带河东街', '京塘路')","('dianzhuang_tongzhou', 'none_tongzhou', 'lianggezhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.7591, 39.79967)","('empty', '玉带河东街', 'empty')","('dianzhuang_tongzhou', 'none_tongzhou', 'dianzhuang_tongzhou')",800,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.71917, 39.82338)","('empty', '玉带河东街', 'x005')","('dianzhuang_tongzhou', 'none_tongzhou', 'daxinzhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.6965, 39.83013)","('empty', '玉带河东街', '张采路')","('dianzhuang_tongzhou', 'none_tongzhou', 'houjie_tongzhou')",280,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.61143, 39.90532)","('empty', '玉带河东街', 'jianguo')","('dianzhuang_tongzhou', 'none_tongzhou', 'sixingzhuang_chaoyang')",60,False
7,"(116.76038, 39.79758)","(116.68425, 39.90155)","(116.57235, 39.91355)","('empty', '玉带河东街', 'chaoyang')","('dianzhuang_tongzhou', 'none_tongzhou', '定福庄_chaoyang')",40,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.77452, 39.82308)","('empty', 'yunhe_east_street', '京塘路')","('dianzhuang_tongzhou', 'xipu_tongzhou', 'lianggezhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.7591, 39.79967)","('empty', 'yunhe_east_street', 'empty')","('dianzhuang_tongzhou', 'xipu_tongzhou', 'dianzhuang_tongzhou')",800,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.71917, 39.82338)","('empty', 'yunhe_east_street', 'x005')","('dianzhuang_tongzhou', 'xipu_tongzhou', 'daxinzhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.6965, 39.83013)","('empty', 'yunhe_east_street', '张采路')","('dianzhuang_tongzhou', 'xipu_tongzhou', 'houjie_tongzhou')",280,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.61143, 39.90532)","('empty', 'yunhe_east_street', 'jianguo')","('dianzhuang_tongzhou', 'xipu_tongzhou', 'sixingzhuang_chaoyang')",60,False
7,"(116.76038, 39.79758)","(116.72373, 39.90177)","(116.57235, 39.91355)","('empty', 'yunhe_east_street', 'chaoyang')","('dianzhuang_tongzhou', 'xipu_tongzhou', '定福庄_chaoyang')",40,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.77452, 39.82308)","('empty', '通济路', '京塘路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'lianggezhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.7591, 39.79967)","('empty', '通济路', 'empty')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'dianzhuang_tongzhou')",800,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.71917, 39.82338)","('empty', '通济路', 'x005')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'daxinzhuang_tongzhou')",40,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.6965, 39.83013)","('empty', '通济路', '张采路')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'houjie_tongzhou')",280,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.61143, 39.90532)","('empty', '通济路', 'jianguo')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', 'sixingzhuang_chaoyang')",60,False
7,"(116.76038, 39.79758)","(116.73787, 39.85625)","(116.57235, 39.91355)","('empty', '通济路', 'chaoyang')","('dianzhuang_tongzhou', 'lianggezhuang_tongzhou', '定福庄_chaoyang')",40,False
7,"(116.76038, 39.79758)","(116.71522, 39.8281)","(116.6965, 39.83013)","('empty', '张凤路', '张采路')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'houjie_tongzhou')",350,False
7,"(116.76038, 39.79758)","(116.71522, 39.8281)","(116.69095, 39.82763)","('empty', '张凤路', 'empty')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'qishanzhuang_tongzhou')",875,False
7,"(116.76038, 39.79758)","(116.71522, 39.8281)","(116.61143, 39.90532)","('empty', '张凤路', 'jianguo')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', 'sixingzhuang_chaoyang')",75,False
7,"(116.76038, 39.79758)","(116.71522, 39.8281)","(116.57235, 39.91355)","('empty', '张凤路', 'chaoyang')","('dianzhuang_tongzhou', 'hegezhuang_tongzhou', '定福庄_chaoyang')",50,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.6965, 39.83013)","('empty', '张采路', '张采路')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'houjie_tongzhou')",3040,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.69095, 39.82763)","('empty', '张采路', 'empty')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'qishanzhuang_tongzhou')",7120,False
7,"(116.76038, 39.79758)","(116.6965, 39.83013)","(116.71253, 39.8379)","('empty', '张采路', 'y762')","('dianzhuang_tongzhou', 'houjie_tongzhou', 'hegezhuang_tongzhou')",230,False
